"id","label","description"
"V80691311","Prime rate",""
"V80691333","1-year","Conventional mortgage"
"V80691334","3-year","Conventional mortgage"
"V80691335","5-year","Conventional mortgage"
"V80691339","1-year","Guaranteed investment certificates"
"V80691340","3-year","Guaranteed investment certificates"
"V80691341","5-year","Guaranteed investment certificates"
"V80691336","5-year personal fixed term",""
"V80691337","Daily Interest Savings (balances over $100,000)",""
"V80691338","Non-Chequable Savings Deposits",""
