"date","ER"
"January 1991","58.5"
"February 1991","58.4"
"March 1991","58.3"
"April 1991","58.8"
"May 1991","60.3"
"June 1991","61.3"
"July 1991","61.7"
"August 1991","61.6"
"September 1991","60.1"
"October 1991","60.0"
"November 1991","59.1"
"December 1991","58.5"
"January 1992","57.2"
"February 1992","57.3"
"March 1992","57.2"
"April 1992","57.4"
"May 1992","58.8"
"June 1992","59.9"
"July 1992","60.2"
"August 1992","59.9"
"September 1992","58.6"
"October 1992","58.5"
"November 1992","57.8"
"December 1992","57.4"
"January 1993","56.2"
"February 1993","56.5"
"March 1993","56.6"
"April 1993","56.7"
"May 1993","58.2"
"June 1993","59.4"
"July 1993","59.7"
"August 1993","59.5"
"September 1993","58.5"
"October 1993","58.3"
"November 1993","57.9"
"December 1993","57.3"
"January 1994","56.0"
"February 1994","56.4"
"March 1994","56.6"
"April 1994","56.9"
"May 1994","58.8"
"June 1994","59.8"
"July 1994","60.4"
"August 1994","60.2"
"September 1994","59.2"
"October 1994","59.1"
"November 1994","58.8"
"December 1994","58.3"
"January 1995","57.2"
"February 1995","57.3"
"March 1995","57.5"
"April 1995","57.6"
"May 1995","59.1"
"June 1995","60.1"
"July 1995","60.3"
"August 1995","60.2"
"September 1995","59.2"
"October 1995","59.0"
"November 1995","58.3"
"December 1995","58.1"
"January 1996","57.0"
"February 1996","57.2"
"March 1996","57.2"
"April 1996","57.6"
"May 1996","59.0"
"June 1996","59.8"
"July 1996","60.2"
"August 1996","60.2"
"September 1996","58.8"
"October 1996","58.5"
"November 1996","58.1"
"December 1996","57.9"
"January 1997","56.9"
"February 1997","57.1"
"March 1997","57.4"
"April 1997","57.6"
"May 1997","59.2"
"June 1997","60.4"
"July 1997","60.7"
"August 1997","60.9"
"September 1997","59.7"
"October 1997","59.6"
"November 1997","59.2"
"December 1997","59.0"
"January 1998","57.6"
"February 1998","58.1"
"March 1998","58.3"
"April 1998","58.7"
"May 1998","60.0"
"June 1998","61.0"
"July 1998","61.4"
"August 1998","61.4"
"September 1998","60.4"
"October 1998","60.3"
"November 1998","60.0"
"December 1998","59.7"
"January 1999","58.7"
"February 1999","58.9"
"March 1999","59.0"
"April 1999","59.5"
"May 1999","60.9"
"June 1999","61.8"
"July 1999","62.2"
"August 1999","62.0"
"September 1999","61.0"
"October 1999","61.1"
"November 1999","60.8"
"December 1999","60.7"
"January 2000","59.6"
"February 2000","59.9"
"March 2000","60.1"
