"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","INDPROD","TOT","IDX2015","M","1971-04",40.64198,
"CAN","INDPROD","TOT","IDX2015","M","1971-05",41.21621,
"CAN","INDPROD","TOT","IDX2015","M","1971-06",41.48781,
"CAN","INDPROD","TOT","IDX2015","M","1971-07",41.61939,
"CAN","INDPROD","TOT","IDX2015","M","1971-08",42.77113,
"CAN","INDPROD","TOT","IDX2015","M","1971-09",43.03898,
"CAN","INDPROD","TOT","IDX2015","M","1971-10",43.22883,
"CAN","INDPROD","TOT","IDX2015","M","1971-11",42.94406,
"CAN","INDPROD","TOT","IDX2015","M","1971-12",43.54884,
"CAN","INDPROD","TOT","IDX2015","M","1972-01",43.81199,
"CAN","INDPROD","TOT","IDX2015","M","1972-02",43.27159,
"CAN","INDPROD","TOT","IDX2015","M","1972-03",43.77345,
"CAN","INDPROD","TOT","IDX2015","M","1972-04",44.91063,
"CAN","INDPROD","TOT","IDX2015","M","1972-05",44.59109,
"CAN","INDPROD","TOT","IDX2015","M","1972-06",45.04409,
"CAN","INDPROD","TOT","IDX2015","M","1972-07",45.24427,
"CAN","INDPROD","TOT","IDX2015","M","1972-08",45.32744,
"CAN","INDPROD","TOT","IDX2015","M","1972-09",46.4463,
"CAN","INDPROD","TOT","IDX2015","M","1972-10",47.3222,
"CAN","INDPROD","TOT","IDX2015","M","1972-11",47.90019,
"CAN","INDPROD","TOT","IDX2015","M","1972-12",48.15253,
"CAN","INDPROD","TOT","IDX2015","M","1973-01",48.57357,
"CAN","INDPROD","TOT","IDX2015","M","1973-02",50.01525,
"CAN","INDPROD","TOT","IDX2015","M","1973-03",50.62003,
"CAN","INDPROD","TOT","IDX2015","M","1973-04",50.22625,
"CAN","INDPROD","TOT","IDX2015","M","1973-05",50.34795,
"CAN","INDPROD","TOT","IDX2015","M","1973-06",50.722,
"CAN","INDPROD","TOT","IDX2015","M","1973-07",51.66041,
"CAN","INDPROD","TOT","IDX2015","M","1973-08",50.24222,
"CAN","INDPROD","TOT","IDX2015","M","1973-09",50.73986,
"CAN","INDPROD","TOT","IDX2015","M","1973-10",51.29012,
"CAN","INDPROD","TOT","IDX2015","M","1973-11",51.91416,
"CAN","INDPROD","TOT","IDX2015","M","1973-12",51.74828,
"CAN","INDPROD","TOT","IDX2015","M","1974-01",52.46818,
"CAN","INDPROD","TOT","IDX2015","M","1974-02",52.46959,
"CAN","INDPROD","TOT","IDX2015","M","1974-03",52.70502,
"CAN","INDPROD","TOT","IDX2015","M","1974-04",51.77272,
"CAN","INDPROD","TOT","IDX2015","M","1974-05",52.39957,
"CAN","INDPROD","TOT","IDX2015","M","1974-06",51.68202,
"CAN","INDPROD","TOT","IDX2015","M","1974-07",51.43015,
"CAN","INDPROD","TOT","IDX2015","M","1974-08",51.37188,
"CAN","INDPROD","TOT","IDX2015","M","1974-09",50.71213,
"CAN","INDPROD","TOT","IDX2015","M","1974-10",50.64024,
"CAN","INDPROD","TOT","IDX2015","M","1974-11",49.72861,
"CAN","INDPROD","TOT","IDX2015","M","1974-12",49.61255,
"CAN","INDPROD","TOT","IDX2015","M","1975-01",47.93027,
"CAN","INDPROD","TOT","IDX2015","M","1975-02",47.96269,
"CAN","INDPROD","TOT","IDX2015","M","1975-03",47.13941,
"CAN","INDPROD","TOT","IDX2015","M","1975-04",47.57032,
"CAN","INDPROD","TOT","IDX2015","M","1975-05",46.45757,
"CAN","INDPROD","TOT","IDX2015","M","1975-06",47.10417,
"CAN","INDPROD","TOT","IDX2015","M","1975-07",47.75593,
"CAN","INDPROD","TOT","IDX2015","M","1975-08",47.39316,
"CAN","INDPROD","TOT","IDX2015","M","1975-09",47.6253,
"CAN","INDPROD","TOT","IDX2015","M","1975-10",47.16996,
"CAN","INDPROD","TOT","IDX2015","M","1975-11",48.23853,
"CAN","INDPROD","TOT","IDX2015","M","1975-12",49.13371,
"CAN","INDPROD","TOT","IDX2015","M","1976-01",49.06886,
"CAN","INDPROD","TOT","IDX2015","M","1976-02",49.38934,
"CAN","INDPROD","TOT","IDX2015","M","1976-03",50.15811,
"CAN","INDPROD","TOT","IDX2015","M","1976-04",50.77745,
"CAN","INDPROD","TOT","IDX2015","M","1976-05",51.44378,
"CAN","INDPROD","TOT","IDX2015","M","1976-06",50.71448,
"CAN","INDPROD","TOT","IDX2015","M","1976-07",50.74784,
"CAN","INDPROD","TOT","IDX2015","M","1976-08",51.26803,
"CAN","INDPROD","TOT","IDX2015","M","1976-09",51.39632,
"CAN","INDPROD","TOT","IDX2015","M","1976-10",50.52511,
"CAN","INDPROD","TOT","IDX2015","M","1976-11",51.53635,
"CAN","INDPROD","TOT","IDX2015","M","1976-12",51.68907,
"CAN","INDPROD","TOT","IDX2015","M","1977-01",52.65802,
"CAN","INDPROD","TOT","IDX2015","M","1977-02",51.97431,
"CAN","INDPROD","TOT","IDX2015","M","1977-03",52.06124,
"CAN","INDPROD","TOT","IDX2015","M","1977-04",51.69283,
"CAN","INDPROD","TOT","IDX2015","M","1977-05",52.31029,
"CAN","INDPROD","TOT","IDX2015","M","1977-06",52.84364,
"CAN","INDPROD","TOT","IDX2015","M","1977-07",52.54196,
"CAN","INDPROD","TOT","IDX2015","M","1977-08",52.6881,
"CAN","INDPROD","TOT","IDX2015","M","1977-09",52.46019,
"CAN","INDPROD","TOT","IDX2015","M","1977-10",52.81826,
"CAN","INDPROD","TOT","IDX2015","M","1977-11",52.97662,
"CAN","INDPROD","TOT","IDX2015","M","1977-12",53.11149,
"CAN","INDPROD","TOT","IDX2015","M","1978-01",53.21158,
"CAN","INDPROD","TOT","IDX2015","M","1978-02",53.60677,
"CAN","INDPROD","TOT","IDX2015","M","1978-03",53.41223,
"CAN","INDPROD","TOT","IDX2015","M","1978-04",54.41172,
"CAN","INDPROD","TOT","IDX2015","M","1978-05",53.75808,
"CAN","INDPROD","TOT","IDX2015","M","1978-06",54.83887,
"CAN","INDPROD","TOT","IDX2015","M","1978-07",54.02734,
"CAN","INDPROD","TOT","IDX2015","M","1978-08",54.28673,
"CAN","INDPROD","TOT","IDX2015","M","1978-09",55.65041,
"CAN","INDPROD","TOT","IDX2015","M","1978-10",55.83649,
"CAN","INDPROD","TOT","IDX2015","M","1978-11",56.36843,
"CAN","INDPROD","TOT","IDX2015","M","1978-12",57.2481,
"CAN","INDPROD","TOT","IDX2015","M","1979-01",57.15976,
"CAN","INDPROD","TOT","IDX2015","M","1979-02",57.25045,
"CAN","INDPROD","TOT","IDX2015","M","1979-03",57.12592,
"CAN","INDPROD","TOT","IDX2015","M","1979-04",56.75986,
"CAN","INDPROD","TOT","IDX2015","M","1979-05",57.72741,
"CAN","INDPROD","TOT","IDX2015","M","1979-06",57.34114,
"CAN","INDPROD","TOT","IDX2015","M","1979-07",57.97505,
"CAN","INDPROD","TOT","IDX2015","M","1979-08",57.94779,
"CAN","INDPROD","TOT","IDX2015","M","1979-09",57.82843,
"CAN","INDPROD","TOT","IDX2015","M","1979-10",57.7415,
"CAN","INDPROD","TOT","IDX2015","M","1979-11",57.25515,
"CAN","INDPROD","TOT","IDX2015","M","1979-12",56.51128,
"CAN","INDPROD","TOT","IDX2015","M","1980-01",57.2716,
"CAN","INDPROD","TOT","IDX2015","M","1980-02",56.25048,
"CAN","INDPROD","TOT","IDX2015","M","1980-03",56.90366,
"CAN","INDPROD","TOT","IDX2015","M","1980-04",55.6396,
"CAN","INDPROD","TOT","IDX2015","M","1980-05",54.26793,
"CAN","INDPROD","TOT","IDX2015","M","1980-06",53.92537,
"CAN","INDPROD","TOT","IDX2015","M","1980-07",54.40938,
"CAN","INDPROD","TOT","IDX2015","M","1980-08",54.15657,
"CAN","INDPROD","TOT","IDX2015","M","1980-09",55.40323,
"CAN","INDPROD","TOT","IDX2015","M","1980-10",56.04419,
"CAN","INDPROD","TOT","IDX2015","M","1980-11",56.15321,
"CAN","INDPROD","TOT","IDX2015","M","1980-12",56.6015,
"CAN","INDPROD","TOT","IDX2015","M","1981-01",55.98122,
"CAN","INDPROD","TOT","IDX2015","M","1981-02",56.32003,
"CAN","INDPROD","TOT","IDX2015","M","1981-03",56.19879,
