"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2015","M","1989-06",45.55108,
"AUT","INDPROD","TOT","IDX2015","M","1989-07",47.10842,
"AUT","INDPROD","TOT","IDX2015","M","1989-08",46.23887,
"AUT","INDPROD","TOT","IDX2015","M","1989-09",46.84446,
"AUT","INDPROD","TOT","IDX2015","M","1989-10",46.85543,
"AUT","INDPROD","TOT","IDX2015","M","1989-11",47.70048,
"AUT","INDPROD","TOT","IDX2015","M","1989-12",48.82458,
"AUT","INDPROD","TOT","IDX2015","M","1990-01",48.27658,
"AUT","INDPROD","TOT","IDX2015","M","1990-02",49.62623,
"AUT","INDPROD","TOT","IDX2015","M","1990-03",49.82412,
"AUT","INDPROD","TOT","IDX2015","M","1990-04",49.33519,
"AUT","INDPROD","TOT","IDX2015","M","1990-05",48.8078,
"AUT","INDPROD","TOT","IDX2015","M","1990-06",50.67213,
"AUT","INDPROD","TOT","IDX2015","M","1990-07",49.40849,
"AUT","INDPROD","TOT","IDX2015","M","1990-08",49.37948,
"AUT","INDPROD","TOT","IDX2015","M","1990-09",50.65894,
"AUT","INDPROD","TOT","IDX2015","M","1990-10",49.91757,
"AUT","INDPROD","TOT","IDX2015","M","1990-11",49.30036,
"AUT","INDPROD","TOT","IDX2015","M","1990-12",52.05814,
"AUT","INDPROD","TOT","IDX2015","M","1991-01",50.63353,
"AUT","INDPROD","TOT","IDX2015","M","1991-02",50.67792,
"AUT","INDPROD","TOT","IDX2015","M","1991-03",50.45803,
"AUT","INDPROD","TOT","IDX2015","M","1991-04",51.10016,
"AUT","INDPROD","TOT","IDX2015","M","1991-05",50.64841,
"AUT","INDPROD","TOT","IDX2015","M","1991-06",51.14385,
"AUT","INDPROD","TOT","IDX2015","M","1991-07",50.41859,
"AUT","INDPROD","TOT","IDX2015","M","1991-08",51.2447,
"AUT","INDPROD","TOT","IDX2015","M","1991-09",50.50921,
"AUT","INDPROD","TOT","IDX2015","M","1991-10",50.11176,
"AUT","INDPROD","TOT","IDX2015","M","1991-11",50.34025,
"AUT","INDPROD","TOT","IDX2015","M","1991-12",50.78389,
"AUT","INDPROD","TOT","IDX2015","M","1992-01",50.4229,
"AUT","INDPROD","TOT","IDX2015","M","1992-02",50.32421,
"AUT","INDPROD","TOT","IDX2015","M","1992-03",50.20888,
"AUT","INDPROD","TOT","IDX2015","M","1992-04",50.85755,
"AUT","INDPROD","TOT","IDX2015","M","1992-05",52.21301,
"AUT","INDPROD","TOT","IDX2015","M","1992-06",51.38442,
"AUT","INDPROD","TOT","IDX2015","M","1992-07",49.35453,
"AUT","INDPROD","TOT","IDX2015","M","1992-08",49.60693,
"AUT","INDPROD","TOT","IDX2015","M","1992-09",49.58056,
"AUT","INDPROD","TOT","IDX2015","M","1992-10",50.29853,
"AUT","INDPROD","TOT","IDX2015","M","1992-11",49.0639,
"AUT","INDPROD","TOT","IDX2015","M","1992-12",47.31067,
"AUT","INDPROD","TOT","IDX2015","M","1993-01",49.24288,
"AUT","INDPROD","TOT","IDX2015","M","1993-02",49.27708,
"AUT","INDPROD","TOT","IDX2015","M","1993-03",49.34338,
"AUT","INDPROD","TOT","IDX2015","M","1993-04",49.18267,
"AUT","INDPROD","TOT","IDX2015","M","1993-05",49.2364,
"AUT","INDPROD","TOT","IDX2015","M","1993-06",47.83052,
"AUT","INDPROD","TOT","IDX2015","M","1993-07",48.82775,
"AUT","INDPROD","TOT","IDX2015","M","1993-08",49.31546,
"AUT","INDPROD","TOT","IDX2015","M","1993-09",49.48106,
"AUT","INDPROD","TOT","IDX2015","M","1993-10",49.91744,
"AUT","INDPROD","TOT","IDX2015","M","1993-11",49.82038,
"AUT","INDPROD","TOT","IDX2015","M","1993-12",49.1198,
