"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970-01","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.6","","","","1"
"1970-02","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.7","","","","1"
"1970-03","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1970-04","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1970-05","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1970-06","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.6","","","","1"
"1970-07","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.5","","","","1"
"1970-08","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.4","","","","1"
"1970-09","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.4","","","","1"
"1970-10","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.5","","","","1"
"1970-11","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.5","","","","1"
"1970-12","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.5","","","","1"
"1971-01","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.7","","","","1"
"1971-02","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1971-03","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1971-04","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1971-05","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1971-06","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","16.8","","","","1"
"1971-07","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.0","","","","1"
"1971-08","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.0","","","","1"
"1971-09","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.0","","","","1"
"1971-10","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.0","","","","1"
"1971-11","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.0","","","","1"
"1971-12","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.1","","","","1"
"1972-01","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.3","","","","1"
"1972-02","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.4","","","","1"
"1972-03","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.5","","","","1"
"1972-04","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.6","","","","1"
"1972-05","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.6","","","","1"
"1972-06","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.6","","","","1"
"1972-07","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.7","","","","1"
"1972-08","Canada","2016A000011124","Manufacturing [31-33]","Index, 202001=100","403","units","0","v1230996350","1.1","17.7","","","","1"
