"date","UER"
"January 1990","8.7"
"February 1990","8.4"
"March 1990","8.3"
"April 1990","7.9"
"May 1990","7.8"
"June 1990","7.2"
"July 1990","7.7"
"August 1990","7.9"
"September 1990","7.7"
"October 1990","8.1"
"November 1990","8.9"
"December 1990","9.2"
"January 1991","10.7"
"February 1991","11.1"
"March 1991","11.7"
"April 1991","10.8"
"May 1991","10.3"
"June 1991","10.0"
"July 1991","10.3"
"August 1991","10.1"
"September 1991","9.3"
"October 1991","9.5"
"November 1991","10.0"
"December 1991","10.1"
"January 1992","11.3"
"February 1992","11.4"
"March 1992","12.2"
"April 1992","11.3"
"May 1992","11.0"
"June 1992","10.9"
"July 1992","11.2"
"August 1992","11.2"
"September 1992","10.4"
"October 1992","10.4"
"November 1992","11.6"
"December 1992","11.4"
"January 1993","12.1"
"February 1993","11.8"
"March 1993","12.5"
"April 1993","12.1"
"May 1993","11.7"
"June 1993","11.2"
"July 1993","11.7"
"August 1993","11.2"
"September 1993","10.3"
"October 1993","10.3"
"November 1993","10.8"
"December 1993","11.1"
"January 1994","12.3"
"February 1994","11.9"
"March 1994","11.7"
"April 1994","11.5"
"May 1994","10.7"
"June 1994","9.9"
"July 1994","10.2"
"August 1994","10.1"
"September 1994","9.1"
"October 1994","9.1"
"November 1994","9.2"
"December 1994","9.3"
"January 1995","10.5"
"February 1995","10.3"
"March 1995","10.6"
"April 1995","10.0"
"May 1995","9.6"
"June 1995","9.1"
"July 1995","9.9"
"August 1995","9.5"
"September 1995","8.3"
"October 1995","8.5"
"November 1995","8.8"
"December 1995","9.0"
"January 1996","10.3"
"February 1996","10.2"
"March 1996","10.3"
"April 1996","9.7"
"May 1996","9.3"
"June 1996","9.4"
"July 1996","9.8"
"August 1996","9.3"
"September 1996","9.0"
"October 1996","9.2"
"November 1996","9.5"
"December 1996","9.3"
"January 1997","10.3"
"February 1997","10.3"
"March 1997","10.0"
"April 1997","9.8"
"May 1997","9.5"
"June 1997","8.8"
"July 1997","9.1"
"August 1997","8.8"
"September 1997","8.1"
"October 1997","8.2"
"November 1997","8.5"
"December 1997","8.0"
"January 1998","9.5"
"February 1998","9.2"
"March 1998","9.0"
"April 1998","8.6"
"May 1998","8.4"
"June 1998","8.0"
"July 1998","8.4"
"August 1998","8.0"
"September 1998","7.5"
"October 1998","7.4"
"November 1998","7.7"
"December 1998","7.7"
"January 1999","8.6"
"February 1999","8.5"
"March 1999","8.4"
"April 1999","8.6"
"May 1999","8.1"
"June 1999","7.2"
"July 1999","7.8"
"August 1999","7.6"
"September 1999","6.8"
"October 1999","6.6"
"November 1999","6.6"
"December 1999","6.3"
"January 2000","7.3"
"February 2000","7.3"
"March 2000","7.3"
"April 2000","7.1"
"May 2000","6.7"
"June 2000","6.3"
"July 2000","7.0"
"August 2000","7.2"
"September 2000","6.3"
"October 2000","6.4"
"November 2000","6.5"
"December 2000","6.4"
"January 2001","7.5"
"February 2001","7.5"
"March 2001","7.6"
"April 2001","7.4"
"May 2001","7.1"
"June 2001","6.7"
"July 2001","7.3"
"August 2001","7.5"
"September 2001","6.6"
"October 2001","6.7"
"November 2001","7.1"
"December 2001","7.6"
"January 2002","8.7"
"February 2002","8.5"
"March 2002","8.4"
"April 2002","8.0"
"May 2002","7.9"
"June 2002","7.1"
